,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
7,0.34158599376678467,0.0038479095517435957,0.014949917793273926,0.0027294908486984798,5,5,22,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 22}",0.8704166666666666,0.8388095238095238,0.8200198412698413,0.8473015873015873,0.8441369047619047,0.01810148364527033,1
68,0.37849533557891846,0.014985884067817166,0.015697360038757324,0.0012941277512222595,6,6,23,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 23}",0.8439880952380953,0.862281746031746,0.8299007936507936,0.8300198412698413,0.841547619047619,0.013270250074397126,2
6,0.3587876558303833,0.013217868809000772,0.013456881046295166,0.0008624906755824145,5,5,21,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 21}",0.8586111111111111,0.8290277777777778,0.8199404761904762,0.8577380952380952,0.8413293650793651,0.01715166747992449,3
43,0.3647620677947998,0.020767621183532904,0.014200925827026367,0.0017806714996793952,5,9,18,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 18}",0.8233928571428571,0.8524206349206349,0.8386111111111111,0.846765873015873,0.840297619047619,0.01092498406556986,4
59,0.3675072193145752,0.013133076799794535,0.012972533702850342,0.0007048184573983739,6,5,24,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 24}",0.835,0.8422222222222222,0.8662698412698413,0.8174801587301588,0.8402430555555556,0.01751392145376139,5
83,0.3643128275871277,0.010120965638408187,0.013455033302307129,0.001494765300691408,6,8,18,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 18}",0.850218253968254,0.8297420634920635,0.8352380952380952,0.8436309523809524,0.8397073412698413,0.007828712077753257,6
57,0.3554699420928955,0.0031535343047556217,0.014225482940673828,0.0028890978725329437,6,5,22,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 22}",0.8528373015873015,0.8409920634920635,0.8240079365079365,0.831765873015873,0.8374007936507937,0.010750627299808137,7
103,0.3667687177658081,0.002906514931335559,0.013953089714050293,0.0007042738840175928,7,5,18,"{'clf__max_depth': 7, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 18}",0.8274603174603175,0.849047619047619,0.8423412698412699,0.830218253968254,0.8372668650793651,0.008808902351435468,8
52,0.36406129598617554,0.004033740203581921,0.012956619262695312,0.0007052853780931143,6,5,17,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 17}",0.8370634920634921,0.8548611111111111,0.8358730158730159,0.8196428571428571,0.836860119047619,0.012464806015618194,9
80,0.3802962899208069,0.005119387111019085,0.013206243515014648,0.0008260410203291979,6,8,15,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 15}",0.8618849206349206,0.8151388888888889,0.828234126984127,0.8396626984126984,0.8362301587301587,0.017166299282773776,10
89,0.3749624490737915,0.01578743346440032,0.014201343059539795,0.0008267086511884703,6,8,24,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 24}",0.8298015873015873,0.8435119047619047,0.8400595238095238,0.8301388888888889,0.8358779761904762,0.006033693539373067,11
489,0.4460083842277527,0.0158455241468953,0.017940104007720947,0.0032290074934500177,14,8,24,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 24}",0.8268849206349206,0.8375198412698412,0.8461111111111111,0.8328571428571429,0.8358432539682539,0.007025105532392026,12
132,0.37886571884155273,0.007333049411540353,0.014203786849975586,0.0019132100953130648,7,8,17,"{'clf__max_depth': 7, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 17}",0.8025793650793651,0.8525,0.8388888888888889,0.8463492063492063,0.8350793650793651,0.01937298579814679,13
33,0.3744097948074341,0.021393124918410323,0.01863861083984375,0.005911859560258242,5,8,18,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 18}",0.8318452380952381,0.8229166666666666,0.8325198412698412,0.8529761904761904,0.8350644841269841,0.011014052906091304,14
97,0.3675035834312439,0.008271465695793819,0.0141029953956604,0.001984792194649399,6,9,22,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 22}",0.8414880952380952,0.8471428571428572,0.8106944444444445,0.8376785714285714,0.8342509920634921,0.014011023192622105,15
30,0.34907644987106323,0.009035261502536168,0.014933109283447266,0.0022360803483874353,5,8,15,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 15}",0.8452579365079365,0.8444444444444444,0.8238690476190477,0.8234325396825397,0.834250992063492,0.010605222531992111,16
477,0.44525688886642456,0.009801172841510743,0.016445159912109375,0.0011144876798878044,14,7,22,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 22}",0.8238690476190477,0.8495238095238096,0.8304365079365079,0.8328769841269841,0.8341765873015874,0.009453303209909402,17
70,0.39273518323898315,0.012436943241876827,0.015697896480560303,0.0014741674699648047,6,7,15,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 15}",0.8350992063492063,0.8460119047619048,0.8246626984126985,0.8296428571428571,0.8338541666666666,0.007930620025769379,18
