,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__max_iter,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
4,0.720492959022522,0.04840975694283309,0.010963618755340576,0.001219644769611971,0.01,100,l1,saga,"{'clf__C': 0.01, 'clf__max_iter': 100, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8153571428571429,0.8142460317460317,0.8072619047619047,0.8077777777777778,0.8111607142857142,0.0036665437303310382,1
275,0.3268911838531494,0.01570434359029309,0.010963678359985352,0.0015764252496204645,0.05,200,none,lbfgs,"{'clf__C': 0.05, 'clf__max_iter': 200, 'clf__penalty': 'none', 'clf__solver': 'lbfgs'}",0.8111706349206349,0.8126388888888889,0.8084523809523809,0.8080555555555555,0.8100793650793652,0.0019029525963686733,2
104,0.6787593960762024,0.02334274592692843,0.009982168674468994,0.0009813893359004167,0.02,300,l1,saga,"{'clf__C': 0.02, 'clf__max_iter': 300, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8145436507936508,0.811468253968254,0.8068452380952381,0.8069444444444445,0.8099503968253968,0.003243440795630351,3
64,0.6917775273323059,0.024054521105774215,0.011230707168579102,0.0013055218720338898,0.02,100,l1,saga,"{'clf__C': 0.02, 'clf__max_iter': 100, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8129166666666666,0.8123214285714285,0.8051190476190476,0.8088690476190477,0.8098065476190477,0.0031164494699501676,4
24,0.6797335743904114,0.026355230954129005,0.011355757713317871,0.0013971279556347347,0.01,200,l1,saga,"{'clf__C': 0.01, 'clf__max_iter': 200, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8121626984126984,0.8116666666666666,0.8076587301587301,0.8076984126984127,0.809796626984127,0.0021253498796781943,5
222,0.3969302177429199,0.014669395279895671,0.012209713459014893,0.001779493796845051,0.04,300,l1,liblinear,"{'clf__C': 0.04, 'clf__max_iter': 300, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.8109920634920635,0.8108134920634921,0.8083730158730159,0.8087896825396825,0.8097420634920635,0.0011717273622041443,6
44,0.6404559016227722,0.009597472121107217,0.011195898056030273,0.001499872502373282,0.01,300,l1,saga,"{'clf__C': 0.01, 'clf__max_iter': 300, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8111904761904762,0.8079761904761905,0.8084325396825397,0.8095436507936508,0.8092857142857143,0.0012386896975403704,7
46,0.5383983254432678,0.02866561410074515,0.016422569751739502,0.0037966738266139682,0.01,300,l2,newton-cg,"{'clf__C': 0.01, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.8130555555555555,0.8074007936507936,0.8084325396825397,0.8081944444444444,0.8092708333333334,0.002218249309632489,8
189,0.6131976246833801,0.021287846157899852,0.010215699672698975,0.0008264902618754594,0.04,100,l2,saga,"{'clf__C': 0.04, 'clf__max_iter': 100, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.8147023809523809,0.806031746031746,0.8085119047619047,0.8072619047619047,0.8091269841269841,0.003336255097045536,9
544,0.7001806497573853,0.024762631216441903,0.010215520858764648,0.00043208666249760656,0.09999999999999999,100,l1,saga,"{'clf__C': 0.09999999999999999, 'clf__max_iter': 100, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8123015873015873,0.8101984126984128,0.8058531746031746,0.8080357142857143,0.8090972222222222,0.002404746352561158,10
224,0.6916922330856323,0.025692073507576612,0.010101854801177979,0.0008842670192486118,0.04,300,l1,saga,"{'clf__C': 0.04, 'clf__max_iter': 300, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8111309523809523,0.8099603174603175,0.805,0.8098809523809524,0.8089930555555556,0.002357914961928641,11
469,0.6133581399917603,0.025924368661184215,0.009219825267791748,0.0008267782664493867,0.08,300,l2,saga,"{'clf__C': 0.08, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.8101190476190476,0.8111904761904762,0.8044444444444444,0.8099007936507937,0.8089136904761905,0.0026260793876138936,12
284,0.6694908142089844,0.025903948654702396,0.01096278429031372,0.00121983988392316,0.05,300,l1,saga,"{'clf__C': 0.05, 'clf__max_iter': 300, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8113888888888889,0.8110515873015873,0.8078769841269842,0.8053373015873015,0.8089136904761904,0.0024780298402823863,13
439,0.6462264060974121,0.035145940531310337,0.010363280773162842,0.0006657485960033935,0.08,100,none,saga,"{'clf__C': 0.08, 'clf__max_iter': 100, 'clf__penalty': 'none', 'clf__solver': 'saga'}",0.8107738095238095,0.810515873015873,0.8088492063492063,0.8053769841269841,0.8088789682539683,0.002152594901163715,14
