,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
99,18.993774473667145,0.06689876245780542,2.6902636289596558,0.00454861837750417,18,9,9,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8960317460317461,0.8973214285714286,0.8966468253968254,0.8954761904761904,0.8963690476190477,0.0006883233634405638,1
102,14.518317520618439,0.09184175879071792,2.033532440662384,0.018364628737667615,18,9,10,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8958333333333334,0.8975,0.8959920634920635,0.8949206349206349,0.896061507936508,0.0009257074099674894,2
103,19.360840916633606,0.1427967793979397,2.8130615949630737,0.03530693118055012,18,9,10,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.8949206349206349,0.8973214285714286,0.8967460317460317,0.8951984126984127,0.896046626984127,0.0010126218086604088,3
86,16.793839037418365,0.08659136303686366,2.0483056902885437,0.014109844019173019,18,8,9,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8948015873015873,0.8974801587301587,0.8968055555555555,0.8950396825396826,0.8960317460317461,0.0011395351023259744,4
54,14.979623913764954,0.1015185393345032,1.9710556268692017,0.012878287669552221,16,8,10,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8953769841269841,0.8969444444444444,0.896765873015873,0.8949404761904762,0.8960069444444445,0.0008644482871790662,5
59,18.651009917259216,0.10254286074762906,2.580307126045227,0.010347302372494137,16,8,11,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8948214285714285,0.8976388888888889,0.8963690476190476,0.8950396825396826,0.895967261904762,0.001132376487808303,6
67,20.19853138923645,0.09661890397966322,2.661657691001892,0.0248522351086795,16,9,10,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.8953968253968254,0.8968452380952381,0.8960119047619047,0.8955952380952381,0.8959623015873015,0.0005559982646508633,7
91,20.268754184246063,0.037389495468414115,2.698276162147522,0.008079400843506857,18,8,10,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.8951587301587302,0.8971825396825397,0.8964880952380953,0.8948611111111111,0.895922619047619,0.0009509848398018202,8
46,14.141575872898102,0.13332042944437977,1.9374863505363464,0.00580039594330156,16,7,11,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 300}",0.8953769841269841,0.8972619047619048,0.8962301587301588,0.8948015873015873,0.8959176587301587,0.0009277119844079599,9
107,20.130666494369507,0.02929563690610749,2.6887673139572144,0.03818316130466884,18,9,11,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8954166666666666,0.8970039682539682,0.8961309523809524,0.8950198412698412,0.8958928571428572,0.0007550118091444647,10
63,19.374584019184113,0.19788484146913288,2.734317898750305,0.028327399018566325,16,9,9,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8952976190476191,0.8971031746031746,0.8961706349206349,0.8949801587301587,0.8958878968253968,0.000826023185531749,11
27,19.50394642353058,0.02793569376968056,2.49981689453125,0.02606066624406353,14,9,9,400,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8954563492063492,0.8974007936507936,0.8959325396825397,0.8947222222222222,0.8958779761904762,0.000979219937117379,12
75,28.874649465084076,0.1562286714971221,3.1489025354385376,0.02746889097654744,18,7,9,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8954960317460318,0.8967460317460317,0.8959722222222222,0.8952777777777777,0.8958730158730158,0.0005631216645364475,13
42,14.074648797512054,0.06864982487169385,1.9447885155677795,0.015047501274393405,16,7,10,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 10, 'clf__n_estimators': 300}",0.8955357142857143,0.8966071428571428,0.89625,0.895079365079365,0.8958680555555556,0.0005967861813251962,14
82,14.730670273303986,0.17674858598487006,2.063303232192993,0.022555079306815287,18,7,11,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 11, 'clf__n_estimators': 300}",0.8959126984126984,0.8969246031746032,0.8959126984126984,0.8947222222222222,0.8958680555555555,0.0007799379572249399,15
87,20.034477949142456,0.17327239994856805,2.868011474609375,0.031873796785765615,18,8,9,400,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 400}",0.8953373015873016,0.896765873015873,0.8965277777777778,0.8948214285714285,0.8958630952380953,0.0008090641201826239,16
50,15.308187365531921,0.10291601161681342,1.9712462425231934,0.018140067946558116,16,8,9,300,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8953769841269841,0.8973412698412698,0.8957936507936508,0.8948809523809523,0.8958482142857143,0.0009205766564417723,17
98,14.878160297870636,0.07951308396695465,2.0277493596076965,0.037043201690879546,18,9,9,300,"{'clf__max_depth': 18, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__n_estimators': 300}",0.8952777777777777,0.896686507936508,0.8966269841269842,0.8947619047619048,0.8958382936507937,0.0008387924692302764,18
71,19.280685782432556,0.06868536803934777,2.811664640903473,0.04011800253396848,16,9,11,400,"{'clf__max_depth': 16, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 11, 'clf__n_estimators': 400}",0.8949007936507937,0.8968849206349206,0.8956349206349207,0.895813492063492,0.8958085317460318,0.0007093600835119744,19
