,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__max_depth,param_clf__min_child_weight,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
14,20.169405102729797,0.9991641034601826,0.07328236103057861,0.005579140832661488,0.5,7,7,0.95,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 7, 'clf__min_child_weight': 7, 'clf__subsample': 0.95}",0.8835714285714286,0.885515873015873,0.8869047619047619,0.8849404761904762,0.8852331349206349,0.001195950952996297,1
10,13.781244099140167,4.426890414168853,0.09422647953033447,0.012604885182066964,0.5,7,6,0.9,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 7, 'clf__min_child_weight': 6, 'clf__subsample': 0.9}",0.8854563492063492,0.8848214285714285,0.885436507936508,0.8851190476190476,0.8852083333333334,0.00026040485611919924,2
101,7.765970587730408,0.2606460945349917,0.06923836469650269,0.029292461856253737,0.7,7,6,0.95,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 7, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.8839484126984127,0.8849206349206349,0.8868452380952381,0.8844047619047619,0.8850297619047619,0.0011031549758445656,3
107,7.492244720458984,0.344315328715841,0.050625503063201904,0.0020346082669463446,0.7,7,8,0.95,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 7, 'clf__min_child_weight': 8, 'clf__subsample': 0.95}",0.884484126984127,0.8845833333333334,0.886984126984127,0.8839880952380952,0.8850099206349207,0.0011619007638278005,4
100,7.711576998233795,0.1301566011541801,0.04834425449371338,0.001661903820032191,0.7,7,6,0.9,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 7, 'clf__min_child_weight': 6, 'clf__subsample': 0.9}",0.8847817460317461,0.8846031746031746,0.8855555555555555,0.8850396825396826,0.8849950396825397,0.0003588953365854947,5
104,7.715705692768097,0.17148929678179634,0.05766564607620239,0.01204339958906302,0.7,7,7,0.95,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 7, 'clf__min_child_weight': 7, 'clf__subsample': 0.95}",0.8846230158730158,0.8857936507936508,0.8858730158730159,0.8836507936507937,0.8849851190476191,0.0009156455824392266,6
16,18.47037762403488,0.7094043886162704,0.08575516939163208,0.00985840559283946,0.5,7,8,0.9,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 7, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8851785714285715,0.8847619047619047,0.8859325396825397,0.8840476190476191,0.8849801587301588,0.0006825800560226049,7
11,21.75668901205063,3.271210704943646,0.12257057428359985,0.021857384222412787,0.5,7,6,0.95,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 7, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.8846428571428572,0.8849206349206349,0.8859126984126984,0.8842063492063492,0.8849206349206349,0.0006268082936083633,8
62,8.0908163189888,1.1364906858841375,0.06033891439437866,0.01256810878629894,0.6,7,8,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 7, 'clf__min_child_weight': 8, 'clf__subsample': 0.95}",0.8845833333333334,0.8847619047619047,0.885734126984127,0.8844047619047619,0.8848710317460318,0.0005140573971441141,9
61,16.12117701768875,4.0941520404403775,0.06739223003387451,0.0185397775163217,0.6,7,8,0.9,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 7, 'clf__min_child_weight': 8, 'clf__subsample': 0.9}",0.8843055555555556,0.8858730158730159,0.8850396825396826,0.8841468253968254,0.8848412698412699,0.0006843081095627299,10
105,7.483618319034576,0.18848827385835137,0.05480539798736572,0.005442775099603279,0.7,7,8,0.8,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 7, 'clf__min_child_weight': 8, 'clf__subsample': 0.8}",0.8838888888888888,0.8851587301587301,0.8855357142857143,0.8847222222222222,0.8848263888888888,0.0006130559074557962,11
20,28.285122275352478,1.2827949467921909,0.08278125524520874,0.02104539375320348,0.5,8,6,0.95,"{'clf__colsample_bytree': 0.5, 'clf__max_depth': 8, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.8848611111111111,0.8847817460317461,0.8855357142857143,0.8840476190476191,0.8848065476190476,0.0005270789546422854,12
56,17.72904860973358,1.1810628152179317,0.07969248294830322,0.008341483285782155,0.6,7,6,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 7, 'clf__min_child_weight': 6, 'clf__subsample': 0.95}",0.8838888888888888,0.8846428571428572,0.8860119047619047,0.8843055555555556,0.8847123015873016,0.0007964360847788173,13
59,18.714000642299652,1.4425905445417155,0.07895159721374512,0.007940924505065778,0.6,7,7,0.95,"{'clf__colsample_bytree': 0.6, 'clf__max_depth': 7, 'clf__min_child_weight': 7, 'clf__subsample': 0.95}",0.884265873015873,0.8854960317460318,0.8849007936507937,0.8841865079365079,0.8847123015873015,0.0005304525549720372,14
103,7.62128746509552,0.13138186418737285,0.04748314619064331,0.0016498925569552517,0.7,7,7,0.9,"{'clf__colsample_bytree': 0.7, 'clf__max_depth': 7, 'clf__min_child_weight': 7, 'clf__subsample': 0.9}",0.8836309523809524,0.8843849206349207,0.8858730158730159,0.8849007936507937,0.8846974206349206,0.0008152293441326396,15
